,,
SMD division,Software availability score,Data accessibility score
APD,-1,-1
APD,-1,-2
APD,-1,-1
APD,-1,-1
APD,-1,-2
APD,-1,-1
APD,1,0
APD,-2,-1
APD,-1,-2
APD,-1,-1
APD,-1,0
APD,0,-1
APD,-1,-2
APD,-1,-1
APD,-1,-1
APD,-1,-2
APD,-1,-1
APD,-2,0
APD,-1,0
APD,0,1
APD,-2,-2
APD,-1,-1
APD,0,-1
APD,-1,-1
APD,-1,-1
APD,-2,0
APD,-1,-1
APD,-1,-1
APD,-1,-1
APD,-1,-1
ESD,-1,-1
ESD,-2,-2
ESD,0,0
ESD,-1,0
ESD,1,1
ESD,1,1
ESD,-2,-1
ESD,-2,0
ESD,-2,0
ESD,0,0
ESD,0,0
ESD,-2,0
ESD,0,0
ESD,-1,0
ESD,0,-1
ESD,-1,0
ESD,0,0
ESD,-2,0
ESD,0,-1
ESD,1,1
ESD,-1,0
ESD,-2,0
ESD,0,0
ESD,0,-1
ESD,-2,0
ESD,-1,0
ESD,-2,0
ESD,-2,0
ESD,1,0
ESD,-1,0
HPD,-2,-2
HPD,-2,-2
HPD,-2,-2
HPD,-2,0
HPD,0,0
HPD,-2,-2
HPD,-2,-1
HPD,-2,-1
HPD,-2,-2
HPD,-1,-2
HPD,-2,-2
HPD,0,0
HPD,-2,-2
HPD,-2,-2
HPD,-1,0
HPD,-1,0
HPD,-1,-2
HPD,-2,-2
HPD,-2,-2
HPD,-2,-1
HPD,-1,0
HPD,-2,-2
HPD,-2,-2
HPD,-1,-2
HPD,-1,-2
HPD,-2,-2
HPD,-1,-2
HPD,-2,-2
HPD,-2,-2
HPD,-1,-2
PSD,-2,-1
PSD,-2,-1
PSD,-1,-1
PSD,-1,0
PSD,-2,-1
PSD,-2,-2
PSD,-1,0
PSD,-1,-2
PSD,-1,-1
PSD,0,0
PSD,0,-1
PSD,0,0
PSD,-1,-1
PSD,-2,-1
PSD,-2,0
PSD,-1,-2
PSD,-2,-1
PSD,0,0
PSD,-1,0
PSD,-2,-1
PSD,-2,-1
PSD,-2,-2
PSD,-1,0
PSD,-2,-1
PSD,-2,-2
PSD,-2,0
PSD,0,-1
PSD,-2,0
PSD,0,-1
PSD,-2,0
BPS,-2,-2
BPS,-2,0
BPS,-1,0
BPS,0,-1
BPS,-1,0
BPS,-1,-1
BPS,-2,0
BPS,-1,-1
BPS,-2,-1
BPS,-2,-2
BPS,0,0
BPS,-1,0
BPS,-2,-2
BPS,-1,-2
BPS,-2,-2
BPS,-1,-1
BPS,-2,-1
BPS,0,0
BPS,-1,0
BPS,-2,-1
BPS,-2,0
BPS,-1,0
BPS,-2,-1
BPS,-2,0
BPS,-2,-2
BPS,-2,-2
BPS,0,-2
BPS,-2,-2
BPS,-2,0
BPS,-1,-1